"","APMC","Commodity","Year","Month","arrivals_in_qtl","min_price","max_price","modal_price","date","district_name","state_name","outlier"
"11","kamthi","amla",2014,"October",8,1129,3214,2171,"2014-10","Nagpur","Maharashtra",TRUE
"33","karad","apple",2014,"October",246,7833,16500,12167,"2014-10","Satara","Maharashtra",TRUE
"35","solapur","apple",2014,"December",2765,570,1175,875,"2014-12","Solapur","Maharashtra",TRUE
"36","solapur","apple",2014,"October",3920,500,925,800,"2014-10","Solapur","Maharashtra",TRUE
"45","amarawati","awala",2014,"December",3,3000,3500,3300,"2014-12","Amaravathi","Maharashtra",TRUE
"129","kille dharur","bajri",2014,"December",270,1439,2284,1795,"2014-12","Beed","Maharashtra",TRUE
"182","sakri","bajri",2014,"September",3022,1036,1045,1039,"2014-09","Dhule","Maharashtra",TRUE
"219","kolhapur-laxmipuri","bajri",2014,"October",10,1700,1900,1800,"2014-10","Kolhapur","Maharashtra",TRUE
"288","pathari","bajri",2014,"December",23,1401,1539,0,"2014-12","Parbhani","Maharashtra",TRUE
"292","pathari","bajri",2014,"November",41,1475,1635,271,"2014-11","Parbhani","Maharashtra",TRUE
"294","pathari","bajri",2014,"October",95,1523,2670,805,"2014-10","Parbhani","Maharashtra",TRUE
"300","pune","bajri",2014,"December",1398,1703,2121,1912,"2014-12","Pune","Maharashtra",TRUE
"306","pune","bajri",2014,"November",413,1727,2062,1894,"2014-11","Pune","Maharashtra",TRUE
"309","pune","bajri",2014,"October",1095,2142,3196,2669,"2014-10","Pune","Maharashtra",TRUE
"312","pune","bajri",2014,"September",501,1815,2053,1932,"2014-09","Pune","Maharashtra",TRUE
"364","digras","bajri",2014,"December",2,1798,0,0,"2014-12","Yewatmal","Maharashtra",TRUE
"365","pusad","bajri",2014,"December",40,1575,1890,1806,"2014-12","Yewatmal","Maharashtra",TRUE
"366","digras","bajri",2014,"November",5,1933,0,0,"2014-11","Yewatmal","Maharashtra",TRUE
"368","digras","bajri",2014,"October",2,1645,0,0,"2014-10","Yewatmal","Maharashtra",TRUE
"393","karad","banana",2014,"December",435,1767,2650,2208,"2014-12","Satara","Maharashtra",TRUE
"395","karad","banana",2014,"October",372,2390,3070,2730,"2014-10","Satara","Maharashtra",TRUE
"417","digras","batbati",2014,"November",1,1500,0,0,"2014-11","Yewatmal","Maharashtra",TRUE
"454","akole","bhagar/vari",2014,"September",2,2000,3000,2500,"2014-09","Ahmadnagar","Maharashtra",TRUE
"455","gevrai","bhagar/vari",2014,"October",1,1500,1500,1500,"2014-10","Beed","Maharashtra",TRUE
"585","chandur bajar","black gram",2014,"November",42,2425,5075,2488,"2014-11","Amaravathi","Maharashtra",TRUE
