"","APMC","Commodity","Year","Month","arrivals_in_qtl","min_price","max_price","modal_price","date","district_name","state_name","fluctuation"
"1","mumbai","cardamom",2014,"September",338,77333,116667,97000,"2014-09","Mumbai","Maharashtra",39334
"2","mumbai","cardamom",2014,"October",484,80000,124000,96000,"2014-10","Mumbai","Maharashtra",44000
"3","mumbai","cashewnuts",2014,"November",3612,52381,91429,71905,"2014-11","Mumbai","Maharashtra",39048
"4","mumbai","cardamom",2014,"December",714,72667,120952,96810,"2014-12","Mumbai","Maharashtra",48285
"5","mumbai","cardamom",2015,"January",958,70000,120800,95400,"2015-01","Mumbai","Maharashtra",50800
"6","mumbai","cardamom",2015,"February",581,90000,134375,112188,"2015-02","Mumbai","Maharashtra",44375
"7","mumbai","cardamom",2015,"March",398,84667,134667,109667,"2015-03","Mumbai","Maharashtra",50000
"8","mumbai","cardamom",2015,"April",288,83333,128333,105833,"2015-04","Mumbai","Maharashtra",45000
"9","mumbai","cardamom",2015,"May",361,95000,154167,124583,"2015-05","Mumbai","Maharashtra",59167
"10","mumbai","cardamom",2015,"June",314,93420,156473,124947,"2015-06","Mumbai","Maharashtra",63053
"11","mumbai","cardamom",2015,"July",502,61718,113376,87547,"2015-07","Mumbai","Maharashtra",51658
"12","mumbai","cardamom",2015,"August",194,41000,80000,60500,"2015-08","Mumbai","Maharashtra",39000
"13","mumbai","cashewnuts",2015,"September",4939,62905,119048,90976,"2015-09","Mumbai","Maharashtra",56143
"14","mumbai","cashewnuts",2015,"October",7756,70000,140000,105000,"2015-10","Mumbai","Maharashtra",70000
"15","mumbai","cashewnuts",2015,"November",5945,62391,111304,86848,"2015-11","Mumbai","Maharashtra",48913
"16","anajngaon surji","chillies(red)",2015,"December",113,8000,40500,8400,"2015-12","Amaravathi","Maharashtra",32500
"17","mumbai","cardamom",2016,"January",836,41214,80000,60607,"2016-01","Mumbai","Maharashtra",38786
"18","mumbai","cardamom",2016,"February",636,40000,80000,60000,"2016-02","Mumbai","Maharashtra",40000
"19","mumbai","cardamom",2016,"March",308,40000,80000,60000,"2016-03","Mumbai","Maharashtra",40000
"20","khamgaon","buffalo",2016,"April",112,20000,68000,45750,"2016-04","Buldhana","Maharashtra",48000
"21","mumbai","cardamom",2016,"May",329,50000,90000,70000,"2016-05","Mumbai","Maharashtra",40000
"22","mumbai","cardamom",2016,"June",174,44286,78571,61429,"2016-06","Mumbai","Maharashtra",34285
"23","mumbai","cardamom",2016,"July",740,53636,93636,73636,"2016-07","Mumbai","Maharashtra",40000
"24","mumbai","cardamom",2016,"August",333,70000,110000,90000,"2016-08","Mumbai","Maharashtra",40000
"25","mumbai","cardamom",2016,"September",342,84286,145714,115000,"2016-09","Mumbai","Maharashtra",61428
"26","mumbai","cardamom",2016,"October",788,86471,152941,119706,"2016-10","Mumbai","Maharashtra",66470
"27","mumbai","cardamom",2016,"November",564,110313,174375,142344,"2016-11","Mumbai","Maharashtra",64062
