"","APMC","Commodity","Year","Month","arrivals_in_qtl","min_price","max_price","modal_price","date","district_name","state_name","trend","detrended_m","seasonal_m","residual_m","deseasonalised","raw_comp","deseas_comp"
"1","akole","bajri",2014,"December",40,1375,1750,1563,"2014-12","Ahmadnagar","Maharashtra",1575.16666666667,0.992275949634959,1.05271122164743,0.942590835198003,1484.73766390939,"above msp","above msp"
"2","jamkhed","bajri",2014,"December",846,1300,1488,1394,"2014-12","Ahmadnagar","Maharashtra",1458.75,0.955612682090831,1.05271122164743,0.907763366097073,1324.1998102941,"above msp","above msp"
"3","kopargaon","bajri",2014,"December",864,1056,1464,1378,"2014-12","Ahmadnagar","Maharashtra",1415.83333333333,0.97327839905827,1.05271122164743,0.924544527543982,1309.00096024769,"above msp","above msp"
"4","newasa","bajri",2014,"December",33,1327,1335,1331,"2014-12","Ahmadnagar","Maharashtra",1345.83333333333,0.988978328173375,1.05271122164743,0.939458331816473,1264.35433823634,"above msp","above msp"
"5","pathardi","bajri",2014,"December",330,1260,1492,1361,"2014-12","Ahmadnagar","Maharashtra",1292.58333333333,1.05293017858294,1.05271122164743,1.00020799335184,1292.85218207337,"above msp","above msp"
"6","rahata","bajri",2014,"December",112,1151,1273,1206,"2014-12","Ahmadnagar","Maharashtra",1205.58333333333,1.00034561415636,1.05271122164743,0.950256436509603,1145.6133222487,"below msp","below msp"
"7","rahuri","bajri",2014,"December",58,1325,1350,1340,"2014-12","Ahmadnagar","Maharashtra",1257.33333333333,1.06574761399788,1.05271122164743,1.01238363578005,1272.90369138745,"above msp","above msp"
"8","rahuri-vambori","bajri",2014,"December",173,1331,1539,1478,"2014-12","Ahmadnagar","Maharashtra",1312.08333333333,1.12645284217212,1.05271122164743,1.07004923953341,1403.9937730378,"above msp","above msp"
"9","sangamner","bajri",2014,"December",547,1341,1666,1535,"2014-12","Ahmadnagar","Maharashtra",1366.58333333333,1.12323922190377,1.05271122164743,1.06699653124812,1458.13967632816,"above msp","above msp"
"10","shevgaon","bajri",2014,"December",599,1143,1435,1368,"2014-12","Ahmadnagar","Maharashtra",1409.75,0.970384820003547,1.05271122164743,0.921795835409595,1299.50167896868,"above msp","above msp"
"11","shevgaon-bodhegaon","bajri",2014,"December",1047,1124,1345,1266,"2014-12","Ahmadnagar","Maharashtra",1405,0.901067615658363,1.05271122164743,0.855949473254638,1202.60900992277,"above msp","below msp"
"12","shrirampur","bajri",2014,"December",455,1162,1456,1320,"2014-12","Ahmadnagar","Maharashtra",1378.33333333333,0.957678355501814,1.05271122164743,0.909725607373223,1253.90512882942,"above msp","above msp"
"13","ahmednagar","bajri",2014,"November",395,1507,1750,1629,"2014-11","Ahmadnagar","Maharashtra",1383.83333333333,1.1771648801638,1.02962791120542,1.14329153993665,1582.12494268233,"above msp","above msp"
"14","akole","bajri",2014,"November",67,1400,1700,1550,"2014-11","Ahmadnagar","Maharashtra",1396.83333333333,1.10965278606372,1.02962791120542,1.0777221304778,1505.39819592241,"above msp","above msp"
"15","jamkhed","bajri",2014,"November",1877,1318,1503,1411,"2014-11","Ahmadnagar","Maharashtra",1399.58333333333,1.00815718963977,1.02962791120542,0.979147106122531,1370.39797061066,"above msp","above msp"
"16","kopargaon","bajri",2014,"November",1167,1224,1503,1429,"2014-11","Ahmadnagar","Maharashtra",1407.75,1.01509500976736,1.02962791120542,0.985885287995887,1387.88001417621,"above msp","above msp"
"17","newasa","bajri",2014,"November",45,1364,1443,1393,"2014-11","Ahmadnagar","Maharashtra",1410.41666666667,0.987651403249631,1.02962791120542,0.959231381065956,1352.91592704511,"above msp","above msp"
"18","pathardi","bajri",2014,"November",628,1255,1475,1346,"2014-11","Ahmadnagar","Maharashtra",1422.08333333333,0.946498681511866,1.02962791120542,0.919262843607035,1307.26836884617,"above msp","above msp"
"19","rahata","bajri",2014,"November",237,1282,1404,1327,"2014-11","Ahmadnagar","Maharashtra",1421,0.933849401829697,1.02962791120542,0.906977551469451,1288.81510063809,"above msp","above msp"
"20","rahuri","bajri",2014,"November",32,1336,1361,1349,"2014-11","Ahmadnagar","Maharashtra",1410.25,0.956567984399929,1.02962791120542,0.929042398705026,1310.18204277376,"above msp","above msp"
"21","rahuri-vambori","bajri",2014,"November",312,1420,1620,1520,"2014-11","Ahmadnagar","Maharashtra",1409,1.07877927608233,1.02962791120542,1.04773701678246,1476.26145664649,"above msp","above msp"
"22","sangamner","bajri",2014,"November",223,1338,1730,1514,"2014-11","Ahmadnagar","Maharashtra",1421.16666666667,1.06532191861147,1.02962791120542,1.03466689958342,1470.43410879131,"above msp","above msp"
"23","shevgaon","bajri",2014,"November",1224,1165,1452,1346,"2014-11","Ahmadnagar","Maharashtra",1427.83333333333,0.942687054978406,1.02962791120542,0.915560897989614,1307.26836884617,"above msp","above msp"
"24","shevgaon-bodhegaon","bajri",2014,"November",2435,1274,1460,1351,"2014-11","Ahmadnagar","Maharashtra",1430.41666666667,0.944480046606467,1.02962791120542,0.917302295642638,1312.12449205882,"above msp","above msp"
"25","shrirampur","bajri",2014,"November",349,1267,1564,1441,"2014-11","Ahmadnagar","Maharashtra",1414.75,1.01855451493197,1.02962791120542,0.989245244662715,1399.53470988658,"above msp","above msp"
"26","akole","bajri",2014,"October",30,1390,1700,1560,"2014-10","Ahmadnagar","Maharashtra",1415.58333333333,1.10201919114617,0.998840875113005,1.10329805137529,1561.81033322601,"above msp","above msp"
"27","jamkhed","bajri",2014,"October",2554,1329,1503,1416,"2014-10","Ahmadnagar","Maharashtra",1416,1,0.998840875113005,1.00116047001667,1417.64322554361,"above msp","above msp"
"28","kopargaon","bajri",2014,"October",644,1204,1451,1363,"2014-10","Ahmadnagar","Maharashtra",1410.5,0.966323998582063,0.998840875113005,0.967445388608808,1364.58172063272,"above msp","above msp"
"29","newasa","bajri",2014,"October",30,1320,1350,1330,"2014-10","Ahmadnagar","Maharashtra",1405.25,0.946450809464508,0.998840875113005,0.947549137251146,1331.54342512217,"above msp","above msp"
"30","pathardi","bajri",2014,"October",638,1286,1548,1429,"2014-10","Ahmadnagar","Maharashtra",1412.16666666667,1.01192021716039,0.998840875113005,1.01309452023167,1430.65831165382,"above msp","above msp"
"31","rahata","bajri",2014,"October",31,1360,1419,1395,"2014-10","Ahmadnagar","Maharashtra",1417.83333333333,0.983895615375573,0.998840875113005,0.985037396736751,1396.61885567326,"above msp","above msp"
"32","rahuri","bajri",2014,"October",49,1352,1382,1367,"2014-10","Ahmadnagar","Maharashtra",1419.33333333333,0.963128229215594,0.998840875113005,0.964245910647809,1368.58636251279,"above msp","above msp"
"33","rahuri-vambori","bajri",2014,"October",365,1369,1589,1493,"2014-10","Ahmadnagar","Maharashtra",1417.08333333333,1.05357247868274,0.998840875113005,1.05479511795464,1494.73258173489,"above msp","above msp"
"34","sangamner","bajri",2014,"October",80,1300,1475,1413,"2014-10","Ahmadnagar","Maharashtra",1408.66666666667,1.00307619498344,0.998840875113005,1.00424023483215,1414.63974413356,"above msp","above msp"
"35","shevgaon","bajri",2014,"October",497,1124,1348,1271,"2014-10","Ahmadnagar","Maharashtra",1402.41666666667,0.906292709014202,0.998840875113005,0.907344434529341,1272.47495739119,"above msp","above msp"
"36","shevgaon-bodhegaon","bajri",2014,"October",1324,1180,1281,1237,"2014-10","Ahmadnagar","Maharashtra",1392.91666666667,0.888064612623392,0.998840875113005,0.889095184979209,1238.43550141062,"below msp","below msp"
"37","shrirampur","bajri",2014,"October",185,1295,1438,1378,"2014-10","Ahmadnagar","Maharashtra",1387.66666666667,0.993033869805429,0.998840875113005,0.994186255836877,1379.59912768297,"above msp","above msp"
