"","APMC","Commodity","Type"
"1","pune-manjri","ambat chuka","Multiplicative"
"2","jalgaon","amla","Multiplicative"
"3","kamthi","amla","Multiplicative"
"4","aurangabad","apple","Multiplicative"
"5","chandrapur","apple","Multiplicative"
"6","jalgaon","apple","Multiplicative"
"7","mumbai","apple","Multiplicative"
"8","nagpur","apple","Multiplicative"
"9","nashik","apple","Multiplicative"
"10","karad","apple","Multiplicative"
"11","mumbai","arvi","Multiplicative"
"12","pune","arvi","Multiplicative"
"13","aurangabad","awala","Multiplicative"
"14","chandrapur","awala","Multiplicative"
"15","akole","bajri","Multiplicative"
"16","jamkhed","bajri","Multiplicative"
"17","kopargaon","bajri","Multiplicative"
"18","newasa","bajri","Multiplicative"
"19","pathardi","bajri","Multiplicative"
"20","rahata","bajri","Multiplicative"
"21","rahuri","bajri","Multiplicative"
"22","rahuri-vambori","bajri","Multiplicative"
"23","sangamner","bajri","Multiplicative"
"24","shevgaon","bajri","Multiplicative"
"25","shevgaon-bodhegaon","bajri","Multiplicative"
"26","shrirampur","bajri","Multiplicative"
"27","ahmednagar","bajri","Multiplicative"
"28","achalpur","bajri","Multiplicative"
"29","aurangabad","bajri","Multiplicative"
"30","gangapur","bajri","Multiplicative"
"31","kannad","bajri","Multiplicative"
"32","paithan","bajri","Multiplicative"
"33","vaijapur","bajri","Multiplicative"
"34","lasur station","bajri","Multiplicative"
"35","sillod","bajri","Multiplicative"
"36","sillod-bharadi","bajri","Multiplicative"
"37","ambejogai","bajri","Multiplicative"
"38","beed","bajri","Multiplicative"
"39","gevrai","bajri","Multiplicative"
"40","kada","bajri","Multiplicative"
"41","kej","bajri","Multiplicative"
"42","majalgaon","bajri","Multiplicative"
"43","parli-vaijnath","bajri","Multiplicative"
"44","kille dharur","bajri","Multiplicative"
"45","kada (ashti)","bajri","Multiplicative"
"46","khamgaon","bajri","Multiplicative"
"47","malkapur","bajri","Multiplicative"
"48","nandura","bajri","Multiplicative"
"49","shegaon","bajri","Multiplicative"
"50","dhule","bajri","Multiplicative"
"51","dondaicha","bajri","Multiplicative"
"52","sakri","bajri","Multiplicative"
"53","shirpur","bajri","Multiplicative"
"54","bhusaval","bajri","Multiplicative"
"55","chalisgaon","bajri","Multiplicative"
"56","chopda","bajri","Multiplicative"
"57","jalgaon","bajri","Multiplicative"
"58","raver","bajri","Multiplicative"
"59","amalner","bajri","Multiplicative"
"60","ambad(vadi godri)","bajri","Multiplicative"
"61","jalna","bajri","Multiplicative"
"62","jalna-badnapur","bajri","Multiplicative"
"63","mantha","bajri","Multiplicative"
"64","partur","bajri","Multiplicative"
"65","ghansawangi","bajri","Multiplicative"
"66","kolhapur-laxmipuri","bajri","Multiplicative"
"67","latur","bajri","Multiplicative"
"68","ausa","bajri","Multiplicative"
"69","ahmedpur","bajri","Multiplicative"
"70","mumbai","bajri","Multiplicative"
"71","bhokar","bajri","Multiplicative"
